,Universities
1,Andrews University
3,Alabama A&M University
4,Arizona State University (ASU)
5,Alabama State University
6,Athens State University
7,Auburn University
12,Baylor University
16,Boston University
20,Bringham Young University
24,Brown University
28,California Institute of Technology
30,Cardinal Stritch University
31,Carnegie Mellon
36,CAse western reserve university
38,Central Michigan University
42,Clemson University
45,Cleveland State University
48,Cornell University
52,Duke University
56,Eastern Michigan University
60,Emory University
63,Florida Institute of Technology
67,George Mason University
71,George Washington University (GWU)
75,Georgetown University
79,Georgia Institute of Technology
82,Harvard University
86,Illinois Institute of Technology (IIT)
89,"Indiana University, Bloomington"
93,Iowa State University
97,IUPUI
101,Johns Hopkins University
104,Kettering University
107,Lawrence Technological University
110,Massachusetts Institute of Technology
114,Miami University-Oxford
118,Michigan State University
122,Michigan Technological University
126,Mississippi State University
130,Morgan State University
133,New Jersey Institute of Technology
137,New York University
140,North Carolina State University
144,Northeastern University
148,Oakland University
152,Ohio State University - Main Campus
157,Pace University
160,Penn State University
164,Pepperdine University
167,Princeton University
170,Purdue University--West Lafayette
175,Rensselaer Polytechnic Institute
179,Rice University
183,Rochester Institute of Technology
188,Stanford University
192,Stony Brook University - SUNY
196,Suffolk University (MA)
200,Syracuse University
204,Texas A&M University - Kingsville
208,"Texas A&M University, College Station"
212,Texas Tech University
216,The Louisiana State University
220,Tufts University
224,"University at Albany, State University of New York"
227,University at Buffalo- SUNY
231,University of Alabama at Birmingham
234,University of California - Berkeley
239,University of California – Los Angeles (UCLA)
243,University of California – San Diego (UCSD)
247,University of California-Davis
251,University of California-Santa Barbara
254,"University of California, Irvine"
257,"University of California, Riverside"
261,University of Central Florida
265,University of Chicago
269,University of Cincinnati - Main Campus
273,"University of Colorado, Boulder"
277,University of Delaware
281,University of Florida
285,University of Houston (UH)
289,University of Illinois – Chicago (UIC)
293,University of Illinois – Urbana-Champaign (UIUC)
297,University of Kentucky
300,University of Maryland – College Park (UMCP)
304,University of Massachusetts-Boston
307,University of Miami
311,University of Michigan - Ann Arbor
315,University of Michigan - Dearborn
319,University of Michigan - Flint
323,University of Minnesota - Twin Cities
327,University of Missouri - Columbia
331,University of Missouri - St. Louis
335,University of North Carolina at Charlotte
339,University of Notre Dame
343,University of Oregon
346,University of Pennsylvania
350,University of Rochester (NY)
354,University of San Francisco
358,University of South Florida
362,University of Southern California
367,"University of Tennessee, Knoxville"
370,University of Texas at Arlington
374,University of Texas at Tyler
378,"University of Texas, Austin"
382,"University of Texas, Dallas"
386,University of Tulsa 
390,University of Utah
394,University of Virginia - Main Campus
398,University of Washington (UW)
402,University of Wisconsin – Madison (UW-Madison)
406,Utah State University
410,Virginia Tech
414,Wake Forest University
418,Washington University in St. Louis
421,Wayne State University
425,West Virginia University
429,Western Michigan University
433,Wright State University
437,Yale University
441,University of Mary Hardin-Baylor
445,Tennessee Technological University
448,Oklahoma State University
452,University of california long beach
456,University of Michigan Ann arbor central campus
461,"University of Michigan Ann arbor, North Campus"
466,California state university long beach
471,san jose state university
